on x=-3..43,y=-40..7,z=-4..40
on x=57310..80634,y=23074..48995,z=-6140..10145
on x=-82584..-64412,y=-36929..-8918,z=-30744..-20425
on x=1762..13898,y=64026..71221,z=-57339..-43117
off x=46409..76785,y=-51642..-24778,z=-27883..-17791
off x=-37325..-20870,y=-42767..-30436,z=-73733..-49594
off x=-2638..9939,y=5218..30204,z=-92271..-72962
on x=-51641..-19872,y=-75627..-55223,z=-8799..4538
on x=46279..56352,y=-5487..13228,z=-72223..-59547
on x=28698..50028,y=-36550..-27480,z=-68725..-54961
on x=-75231..-48661,y=9764..33430,z=-58299..-41917
on x=-3483..23158,y=13480..25885,z=72510..95758
off x=-18675..-2624,y=16051..39272,z=60246..78170
off x=52280..66124,y=-64097..-29418,z=7002..42023
on x=-30514..-22186,y=60270..90187,z=-4397..18590
on x=446..19197,y=-85001..-71792,z=21425..47374
on x=51070..68670,y=37421..67959,z=-15610..11603
on x=-77901..-60148,y=-44344..-21055,z=18341..34826
on x=70381..84879,y=-12006..-355,z=-12304..8343
on x=-53588..-40065,y=48904..61274,z=16395..40150
on x=-22528..4952,y=30750..59031,z=51962..79814
off x=-63726..-38963,y=-40859..-23357,z=-61143..-41380
off x=37566..48308,y=-76087..-54237,z=-31897..-1304
on x=-5934..5731,y=65596..68103,z=44118..63815
off x=-59314..-34557,y=-73628..-51952,z=-12402..8294
