position=<-54530, -54537> velocity=< 5,  5>
position=< 22081, -54535> velocity=<-2,  5>
position=< 33038, -10758> velocity=<-3,  1>
position=<-21740,  11134> velocity=< 2, -1>
position=< 33000, -21697> velocity=<-3,  2>
position=< 43981, -54541> velocity=<-4,  5>
position=<-54544,  33026> velocity=< 5, -3>
position=<-10769, -21702> velocity=< 1,  2>
position=< 11103, -10758> velocity=<-1,  1>
position=<-10762,  54918> velocity=< 1, -5>
position=< 11143, -21696> velocity=<-1,  2>
position=<-10797,  33033> velocity=< 1, -3>
position=<-43582, -10750> velocity=< 4,  1>
position=< 22043,  33030> velocity=<-2, -3>
position=<-10784, -54536> velocity=< 1,  5>
position=< 22057,  11143> velocity=<-2, -1>
position=<-10784, -32645> velocity=< 1,  3>
position=< 54872, -10758> velocity=<-5,  1>
position=<-10772, -32647> velocity=< 1,  3>
position=<-54560, -54536> velocity=< 5,  5>
position=< 22054, -43596> velocity=<-2,  4>
position=< 22062,  11142> velocity=<-2, -1>
position=< 43949,  54926> velocity=<-4, -5>
position=<-54589,  33033> velocity=< 5, -3>
position=< 33006, -32644> velocity=<-3,  3>
position=<-43583,  11140> velocity=< 4, -1>
position=< 11089, -32646> velocity=<-1,  3>
position=<-21699,  43981> velocity=< 2, -4>
position=<-32648, -21704> velocity=< 3,  2>
position=<-10805,  33027> velocity=< 1, -3>
position=< 11135, -21696> velocity=<-1,  2>
position=<-32689, -43596> velocity=< 3,  4>
position=<-54539,  43981> velocity=< 5, -4>
position=< 32983, -43590> velocity=<-3,  4>
position=<-32657,  11142> velocity=< 3, -1>
position=< 11127, -32649> velocity=<-1,  3>
position=< 22075, -32646> velocity=<-2,  3>
position=< 32987,  11135> velocity=<-3, -1>
position=< 33016,  54918> velocity=<-3, -5>
position=<-54568,  54922> velocity=< 5, -5>
position=< 33008,  54922> velocity=<-3, -5>
position=< 43949, -32648> velocity=<-4,  3>
position=< 22093, -43592> velocity=<-2,  4>
position=<-32695, -43596> velocity=< 3,  4>
position=<-43623, -54535> velocity=< 4,  5>
position=<-10781, -43595> velocity=< 1,  4>
position=<-10749,  54927> velocity=< 1, -5>
position=< 11115,  22087> velocity=<-1, -2>
position=<-54553, -21701> velocity=< 5,  2>
position=< 33004, -32649> velocity=<-3,  3>
position=< 43936, -54538> velocity=<-4,  5>
position=< 22070, -54534> velocity=<-2,  5>
position=< 54927, -54538> velocity=<-5,  5>
position=<-10797, -21703> velocity=< 1,  2>
position=<-10765,  33031> velocity=< 1, -3>
position=< 54872, -54538> velocity=<-5,  5>
position=< 11108, -21700> velocity=<-1,  2>
position=<-21747,  33026> velocity=< 2, -3>
position=< 43954, -54539> velocity=<-4,  5>
position=<-43624,  33032> velocity=< 4, -3>
position=< 22069,  54924> velocity=<-2, -5>
position=<-32636,  22082> velocity=< 3, -2>
position=<-10800,  33029> velocity=< 1, -3>
position=< 33008, -43592> velocity=<-3,  4>
position=< 43984, -10758> velocity=<-4,  1>
position=<-21747, -21698> velocity=< 2,  2>
position=< 22069, -21697> velocity=<-2,  2>
position=<-43622, -43593> velocity=< 4,  4>
position=< 32979,  11135> velocity=<-3, -1>
position=<-21716,  33030> velocity=< 2, -3>
position=<-10788,  22082> velocity=< 1, -2>
position=< 54892,  43981> velocity=<-5, -4>
position=<-21708,  54922> velocity=< 2, -5>
position=< 54922,  11143> velocity=<-5, -1>
position=<-43587,  33027> velocity=< 4, -3>
position=< 43973, -43587> velocity=<-4,  4>
position=<-21707, -54538> velocity=< 2,  5>
position=<-54536,  43974> velocity=< 5, -4>
position=<-10769, -10752> velocity=< 1,  1>
position=<-10776,  22080> velocity=< 1, -2>
position=<-32673,  43972> velocity=< 3, -4>
position=< 43925,  11140> velocity=<-4, -1>
position=<-10755,  22085> velocity=< 1, -2>
position=<-43591, -54539> velocity=< 4,  5>
position=< 11113,  33029> velocity=<-1, -3>
position=< 33003, -32646> velocity=<-3,  3>
position=< 11108,  11142> velocity=<-1, -1>
position=< 11111,  54923> velocity=<-1, -5>
position=< 33028, -10749> velocity=<-3,  1>
position=<-54549, -43587> velocity=< 5,  4>
position=< 54871, -32642> velocity=<-5,  3>
position=< 54929, -32646> velocity=<-5,  3>
position=<-32694,  22085> velocity=< 3, -2>
position=< 22049, -21696> velocity=<-2,  2>
position=< 22041,  54923> velocity=<-2, -5>
position=< 43928,  33030> velocity=<-4, -3>
position=<-21692, -10753> velocity=< 2,  1>
position=< 43946,  43972> velocity=<-4, -4>
position=<-10760, -32650> velocity=< 1,  3>
position=< 43938, -54540> velocity=<-4,  5>
position=< 54876,  43980> velocity=<-5, -4>
position=<-10749,  22080> velocity=< 1, -2>
position=<-43614,  11142> velocity=< 4, -1>
position=< 11119,  33035> velocity=<-1, -3>
position=< 22093,  54918> velocity=<-2, -5>
position=<-32665,  11135> velocity=< 3, -1>
position=<-32648, -32644> velocity=< 3,  3>
position=<-32662, -54537> velocity=< 3,  5>
position=< 33000, -54541> velocity=<-3,  5>
position=<-54570,  11139> velocity=< 5, -1>
position=<-32662, -21699> velocity=< 3,  2>
position=< 22057,  33033> velocity=<-2, -3>
position=<-10749,  22081> velocity=< 1, -2>
position=< 43973, -10750> velocity=<-4,  1>
position=< 54904,  33033> velocity=<-5, -3>
position=< 54892, -10756> velocity=<-5,  1>
position=< 54932, -32647> velocity=<-5,  3>
position=< 11103,  22087> velocity=<-1, -2>
position=<-21751, -21701> velocity=< 2,  2>
position=<-32641,  43981> velocity=< 3, -4>
position=< 33008, -32646> velocity=<-3,  3>
position=< 33019,  43978> velocity=<-3, -4>
position=<-54577, -32646> velocity=< 5,  3>
position=<-32692, -54533> velocity=< 3,  5>
position=< 22049,  22089> velocity=<-2, -2>
position=<-21727, -10758> velocity=< 2,  1>
position=<-21694, -21700> velocity=< 2,  2>
position=< 22073,  54922> velocity=<-2, -5>
position=< 22054,  22088> velocity=<-2, -2>
position=< 54895, -43595> velocity=<-5,  4>
position=<-43593,  22085> velocity=< 4, -2>
position=<-54549, -54539> velocity=< 5,  5>
position=< 11092,  22082> velocity=<-1, -2>
position=<-43639, -43589> velocity=< 4,  4>
position=<-32670,  54923> velocity=< 3, -5>
position=< 43981,  43975> velocity=<-4, -4>
position=<-54585,  33030> velocity=< 5, -3>
position=< 43949, -43588> velocity=<-4,  4>
position=< 54900,  22081> velocity=<-5, -2>
position=<-54573,  43974> velocity=< 5, -4>
position=<-43610, -54535> velocity=< 4,  5>
position=<-10784, -43593> velocity=< 1,  4>
position=< 11127,  11135> velocity=<-1, -1>
position=<-43587, -32645> velocity=< 4,  3>
position=<-54528, -21703> velocity=< 5,  2>
position=<-21698,  22089> velocity=< 2, -2>
position=<-43585, -10758> velocity=< 4,  1>
position=< 11136,  22086> velocity=<-1, -2>
position=< 22033, -32650> velocity=<-2,  3>
position=< 11119,  54926> velocity=<-1, -5>
position=<-21690,  43981> velocity=< 2, -4>
position=<-21739,  43972> velocity=< 2, -4>
position=<-43638, -54541> velocity=< 4,  5>
position=< 54871,  33035> velocity=<-5, -3>
position=<-10788,  11135> velocity=< 1, -1>
position=<-32660, -21704> velocity=< 3,  2>
position=<-54556,  43975> velocity=< 5, -4>
position=<-32687,  43972> velocity=< 3, -4>
position=<-10803,  22084> velocity=< 1, -2>
position=< 54896, -10756> velocity=<-5,  1>
position=<-21751,  11136> velocity=< 2, -1>
